ID,User,Story Title,User Stories,Impact,Satisfaction,Score,Priority,MVP,Story Pts,Relevant PRD,Status,Epics
US-73,B2B User,API Access for Asset Discovery,"As an institutional user, I want to access asset discovery features programmatically via API, so I can integrate real-time asset data and screening into my own products and services.",5,1,9,Must Have,No,,Asset Discovery (https://www.notion.so/Asset-Discovery-2f51191b72fc8099a074f5cbf849ad5f?pvs=21),Not started,Asset Discovery (https://www.notion.so/Asset-Discovery-2f61191b72fc80028e49cd3a4784dbfd?pvs=21)
US-72,B2C User,Asset Discovery Alerts,"As a retail user, I want to set up personalized alerts for new assets matching my criteria (e.g., market cap, volume, sentiment), so I never miss emerging opportunities.",5,1,9,Must Have,Yes,,Asset Discovery (https://www.notion.so/Asset-Discovery-2f51191b72fc8099a074f5cbf849ad5f?pvs=21),Not started,Alerts (https://www.notion.so/Alerts-2d81191b72fc804da66aca91d6c334e2?pvs=21)
US-71,B2C User,Asset Recommendation,"As a retail user, I want to view the recommended assets based on my criteria from the Midas platform, so I never miss any emerging opportunities.",5,1,9,Should Have,Yes,,Asset Discovery (https://www.notion.so/Asset-Discovery-2f51191b72fc8099a074f5cbf849ad5f?pvs=21),Not started,Asset Discovery (https://www.notion.so/Asset-Discovery-2f61191b72fc80028e49cd3a4784dbfd?pvs=21)
US-70,B2C User,Asset Comparison,"As a portfolio manager, I want to compare potential assets side-by-side on key metrics like volatility, risk, and historical performance, so that I can efficiently evaluate which assets best suit my strategy.",4,2,6,Should Have,Yes,,Asset Discovery (https://www.notion.so/Asset-Discovery-2f51191b72fc8099a074f5cbf849ad5f?pvs=21),Not started,Asset Discovery (https://www.notion.so/Asset-Discovery-2f61191b72fc80028e49cd3a4784dbfd?pvs=21)
US-69,B2C User,In-Depth Asset Analytics,"As a retail user, I want to view detailed information, analytics, and sentiment indicators for any discovered asset, so I can make informed decisions before adding it to my portfolio.",5,1,9,Must Have,Yes,,Asset Discovery (https://www.notion.so/Asset-Discovery-2f51191b72fc8099a074f5cbf849ad5f?pvs=21),Not started,Asset Discovery (https://www.notion.so/Asset-Discovery-2f61191b72fc80028e49cd3a4784dbfd?pvs=21)
US-68,B2C User,AI-Powered Trending Asset Discovery,"As an advanced trader, I want to use AI-driven recommendations to surface trending or under-the-radar assets, so I can gain a competitive edge and act on timely market signals.",5,1,9,Should Have,No,,Asset Discovery (https://www.notion.so/Asset-Discovery-2f51191b72fc8099a074f5cbf849ad5f?pvs=21),Not started,Asset Discovery (https://www.notion.so/Asset-Discovery-2f61191b72fc80028e49cd3a4784dbfd?pvs=21)
US-67,B2C User,Unified Multi-Asset Search,"As a retail user, I want to search and filter assets across multiple classes (crypto, stocks, FX, commodities), so I can easily discover new investment opportunities in one unified platform.",5,1,9,Must Have,Yes,,Asset Discovery (https://www.notion.so/Asset-Discovery-2f51191b72fc8099a074f5cbf849ad5f?pvs=21),Not started,Asset Discovery (https://www.notion.so/Asset-Discovery-2f61191b72fc80028e49cd3a4784dbfd?pvs=21)
US-66,,,,,,,,No,,,Not started,
US-65,All Users,Outperforming Strategy Recommendation & Comparison (AI-Assisted),"As a user, I want conversational AI to automatically notify me about strategies on the platform that have outperformed in similar market conditions, and present these side-by-side with my current strategy, so I can make smarter, data-driven adjustments with confidence.",4,3,5,Nice-To-Have,No,,[MAS] Strategy Analyst (Agent) (https://www.notion.so/MAS-Strategy-Analyst-Agent-2931191b72fc80b1ad09ddf7ae4eabcb?pvs=21),Not started,Personalized Investment Companion (https://www.notion.so/Personalized-Investment-Companion-2f61191b72fc806b846eddfdb5fa8a98?pvs=21)
US-64,All Users,Strategy Recommendation & Comparison (AI-Assisted),"As a user, I want to use conversational AI to suggest alternative strategies in Midas and compare them with my current setup, so I can easily evaluate and choose outperforming options using intuitive, AI-powered insights.",5,1,9,Should Have,Yes,,[MAS] Strategy Analyst (Agent) (https://www.notion.so/MAS-Strategy-Analyst-Agent-2931191b72fc80b1ad09ddf7ae4eabcb?pvs=21),Not started,Personalized Investment Companion (https://www.notion.so/Personalized-Investment-Companion-2f61191b72fc806b846eddfdb5fa8a98?pvs=21)
